filename,width,height,class,xmin,ymin,xmax,ymax
r0.jpg,960,540,rope,1,1,694,56
r1.jpg,960,540,rope,1,23,959,119
r10.jpg,960,540,rope,1,256,960,348
r100.jpg,960,540,rope,596,1,960,188
r101.jpg,960,540,rope,568,1,960,184
r103.jpg,960,540,rope,469,1,960,234
r105.jpg,960,540,rope,455,1,960,233
r106.jpg,960,540,rope,381,1,960,243
r107.jpg,960,540,rope,397,1,960,143
r108.jpg,960,540,rope,418,1,960,277
r109.jpg,960,540,rope,511,1,960,244
r11.jpg,960,540,rope,1,270,958,394
r110.jpg,960,540,rope,518,1,960,159
r111.jpg,960,540,rope,533,1,960,172
r112.jpg,960,540,rope,512,1,960,329
r113.jpg,960,540,rope,423,1,960,449
r114.jpg,960,540,rope,372,1,960,540
r115.jpg,960,540,rope,378,1,960,280
r117.jpg,960,540,rope,718,1,960,98
r119.jpg,960,540,rope,811,1,960,84
r120.jpg,960,540,rope,625,1,960,156
r121.jpg,960,540,rope,610,1,960,233
r122.jpg,960,540,rope,552,1,960,417
r123.jpg,960,540,rope,432,1,960,405
r124.jpg,960,540,rope,276,1,960,402
r125.jpg,960,540,rope,1,1,148,62
r126.jpg,960,540,rope,1,1,206,123
r127.jpg,960,540,rope,1,1,196,138
r129.jpg,960,540,rope,1,1,268,213
r131.jpg,960,540,rope,1,1,350,273
r132.jpg,960,540,rope,1,1,316,212
r133.jpg,960,540,rope,1,1,425,225
r134.jpg,960,540,rope,1,1,421,271
r136.jpg,960,540,rope,1,1,433,398
r137.jpg,960,540,rope,1,1,538,420
r138.jpg,960,540,rope,1,1,600,416
r139.jpg,960,540,rope,1,1,599,478
r14.jpg,960,540,rope,163,516,456,540
r140.jpg,960,540,rope,78,1,607,533
r141.jpg,960,540,rope,183,1,615,538
r142.jpg,960,540,rope,53,1,486,536
r143.jpg,960,540,rope,1,1,320,506
r144.jpg,960,540,rope,1,1,306,254
r145.jpg,960,540,rope,159,1,336,537
r147.jpg,960,540,rope,885,376,958,539
r148.jpg,960,540,rope,797,249,955,540
r15.jpg,960,540,rope,139,347,960,540
r150.jpg,960,540,rope,681,150,959,540
r151.jpg,960,540,rope,596,119,956,540
r153.jpg,960,540,rope,650,193,958,540
r154.jpg,960,540,rope,821,329,958,540
r155.jpg,960,540,rope,857,438,960,540
r157.jpg,960,540,rope,832,54,960,540
r158.jpg,960,540,rope,644,24,960,539
r159.jpg,960,540,rope,581,1,849,538
r160.jpg,960,540,rope,920,1,960,226
r161.jpg,960,540,rope,1,319,115,540
r163.jpg,960,540,rope,9,146,303,540
r164.jpg,960,540,rope,1,39,298,540
r166.jpg,960,540,rope,99,1,346,539
r167.jpg,960,540,rope,1,6,321,537
r168.jpg,960,540,rope,1,56,296,539
